entity_id,performance_rank,external_metric
Entity_1,1210,-96.0
Entity_10,1050,356.0
Entity_100,920,686.0
Entity_101,540,-216.0
Entity_102,560,-16.0
Entity_103,240,-126.0
Entity_104,1240,-436.0
Entity_105,1270,426.0
Entity_106,700,-596.0
Entity_107,680,-566.0
Entity_108,430,206.0
Entity_109,1210,76.0
Entity_11,490,346.0
Entity_110,380,-246.0
Entity_111,720,-116.0
Entity_112,260,416.0
Entity_113,1290,-416.0
Entity_115,270,-76.0
Entity_116,860,-96.0
Entity_117,1170,426.0
Entity_118,980,-186.0
Entity_119,1330,346.0
Entity_12,1280,116.0
Entity_120,1140,426.0
Entity_121,1010,506.0
Entity_13,280,-16.0
Entity_14,330,-176.0
Entity_15,680,-396.0
Entity_17,580,-56.0
Entity_18,700,-66.0
Entity_19,170,-116.0
Entity_2,1090,-186.0
Entity_20,1250,-416.0
Entity_21,70,-16.0
Entity_22,920,446.0
Entity_23,220,-276.0
Entity_24,300,106.0
Entity_25,810,-76.0
Entity_26,80,-566.0
Entity_27,1140,726.0
Entity_28,1230,106.0
Entity_29,790,-86.0
Entity_3,210,176.0
Entity_30,130,-246.0
Entity_31,550,496.0
Entity_32,860,-326.0
Entity_33,1260,206.0
Entity_34,1040,76.0
Entity_35,750,156.0
Entity_36,1020,56.0
Entity_37,430,176.0
Entity_38,1320,666.0
Entity_39,460,186.0
Entity_4,1050,276.0
Entity_40,510,-186.0
Entity_41,120,-76.0
Entity_42,840,366.0
Entity_43,340,236.0
Entity_44,410,146.0
Entity_45,1090,286.0
Entity_46,480,-196.0
Entity_47,650,-116.0
Entity_48,850,166.0
Entity_49,1180,-106.0
Entity_5,580,166.0
Entity_50,970,-106.0
Entity_51,350,-216.0
Entity_52,450,-26.0
Entity_53,890,126.0
Entity_54,1300,566.0
Entity_55,950,-346.0
Entity_56,370,-86.0
Entity_57,630,146.0
Entity_58,360,-416.0
Entity_59,520,-586.0
Entity_6,1190,6.0
Entity_60,530,-386.0
Entity_61,230,-16.0
Entity_62,660,186.0
Entity_63,860,-26.0
Entity_64,1020,-56.0
Entity_65,200,-336.0
Entity_66,560,256.0
Entity_67,1050,-86.0
Entity_68,470,-176.0
Entity_69,630,-140.0
Entity_70,900,30.0
Entity_71,110,-840.0
Entity_72,580,245.0
Entity_73,1110,570.0
Entity_74,1000,115.0
Entity_75,1050,-250.0
Entity_76,720,-150.0
Entity_77,940,15.0
Entity_78,190,20.0
Entity_79,290,145.0
Entity_8,390,375.0
Entity_80,760,-250.0
Entity_81,760,-45.0
Entity_82,790,-85.0
Entity_84,820,80.0
Entity_85,900,-155.0
Entity_86,1140,-25.0
Entity_87,300,-210.0
Entity_88,150,-510.0
Entity_89,580,-90.0
Entity_9,1310,230.0
Entity_90,320,-55.0
Entity_91,760,470.0
Entity_92,820,20.0
Entity_93,1130,10.0
Entity_94,660,40.0
Entity_95,1200,65.0
Entity_96,1110,-335.0
Entity_97,580,-590.0
Entity_98,1340,80.0
Entity_99,960,125.0
