dmu_id,period,output_name,output_value
Entity_18,2025-03-31,output_2,290655
Entity_18,2025-03-31,output_1,3365.0
Entity_18,2025-07-31,output_2,289355
Entity_18,2025-07-31,output_1,3415.0
Entity_18,2025-11-30,output_2,29215.0
Entity_18,2025-11-30,output_1,34655
Entity_101,2025-03-31,output_2,49355.0
Entity_101,2025-03-31,output_1,10115.0
Entity_101,2025-07-31,output_2,490555
Entity_101,2025-07-31,output_1,10565.0
Entity_101,2025-11-30,output_2,49815.0
Entity_101,2025-11-30,output_1,108455
Entity_104,2025-03-31,output_2,122015.0
Entity_104,2025-03-31,output_1,9645.0
Entity_104,2025-07-31,output_2,1237355
Entity_104,2025-07-31,output_1,9535.0
Entity_104,2025-11-30,output_2,123335.0
Entity_104,2025-11-30,output_1,9985.0
Entity_69,2025-03-31,output_2,472955
Entity_69,2025-03-31,output_1,60155
Entity_69,2025-07-31,output_2,47615.0
Entity_69,2025-07-31,output_1,59755
Entity_69,2025-11-30,output_2,489055
Entity_69,2025-11-30,output_1,5795.0
Entity_3,2025-03-31,output_2,106115.0
Entity_3,2025-03-31,output_1,196755
Entity_3,2025-07-31,output_2,1061655
Entity_3,2025-07-31,output_1,19355.0
Entity_3,2025-11-30,output_2,106845.0
Entity_3,2025-11-30,output_1,190155
Entity_47,2025-03-31,output_2,104575.0
Entity_47,2025-03-31,output_1,230355
Entity_47,2025-07-31,output_2,1050155
Entity_47,2025-07-31,output_1,23695.0
Entity_47,2025-11-30,output_2,105155.0
Entity_47,2025-11-30,output_1,235055
Entity_73,2025-03-31,output_2,553155
Entity_73,2025-03-31,output_1,47255
Entity_73,2025-07-31,output_2,560755
Entity_73,2025-07-31,output_1,4455.0
Entity_73,2025-11-30,output_2,57485.0
Entity_73,2025-11-30,output_1,4185.0
Entity_57,2025-03-31,output_2,45335.0
Entity_57,2025-03-31,output_1,16045.0
Entity_57,2025-07-31,output_2,46925.0
Entity_57,2025-07-31,output_1,16455.0
Entity_57,2025-11-30,output_2,47765.0
Entity_57,2025-11-30,output_1,169355
Entity_66,2025-03-31,output_2,54465.0
Entity_66,2025-03-31,output_1,30315.0
Entity_66,2025-07-31,output_2,554855
Entity_66,2025-07-31,output_1,29985.0
Entity_66,2025-11-30,output_2,556055
Entity_66,2025-11-30,output_1,291655
Entity_40,2025-03-31,output_2,69035.0
Entity_40,2025-03-31,output_1,148755
Entity_40,2025-07-31,output_2,706955
Entity_40,2025-07-31,output_1,114455
Entity_40,2025-11-30,output_2,67835.0
Entity_40,2025-11-30,output_1,73155
Entity_8,2025-03-31,output_2,45635.0
Entity_8,2025-03-31,output_1,65855
Entity_8,2025-07-31,output_2,448055
Entity_8,2025-07-31,output_1,6815.0
Entity_8,2025-11-30,output_2,434755
Entity_8,2025-11-30,output_1,69255
Entity_13,2025-03-31,output_2,580755
Entity_13,2025-03-31,output_1,7015.0
Entity_13,2025-07-31,output_2,585455
Entity_13,2025-07-31,output_1,71355
Entity_13,2025-11-30,output_2,58155.0
Entity_13,2025-11-30,output_1,71455
Entity_26,2025-03-31,output_2,788855
Entity_26,2025-03-31,output_1,15485.0
